id,year,doi,publisher,decision,reason,area,raw
1,2026,10.1109/ACCESS.2026.3674740,IEEE,include,,Occupational,"Alsahreef MS, Alfahmi M, Alharbi E, Jones JM, Jaber M, Alomainy A. IoMT-Based Proactive Approach for Detecting Stress in Physicians to Reduce Medical Errors. IEEE Access 2026;14:45934–47. https://doi.org/10.1109/ACCESS.2026.3674740."
2,2025,10.1371/journal.pone.0336394,PLOS,exclude,E3,,Kim S. Multi-modal inflammatory risk modeling in post-PCI patients using behavioral and physiologic data. PLOS One 2025;20:e0336394. https://doi.org/10.1371/journal.pone.0336394.
3,2022,10.1371/journal.pone.0267749,PLOS,include,,Clinical,"Sadeghi M, McDonald AD, Sasangohar F. Posttraumatic stress disorder hyperarousal event detection using smartwatch physiological and activity data. PLOS ONE 2022;17:e0267749. https://doi.org/10.1371/journal.pone.0267749."
4,2024,10.3390/s24030947,MDPI,include,,Occupational,"Rescio G, Manni A, Ciccarelli M, Papetti A, Caroppo A, Leone A. A Deep Learning-Based Platform for Workers’ Stress Detection Using Minimally Intrusive Multisensory Devices. Sensors 2024;24:947. https://doi.org/10.3390/s24030947."
5,2023,10.3390/s23125502,MDPI,include,,Occupational,"Donati M, Olivelli M, Giovannini R, Fanucci L. ECG-Based Stress Detection and Productivity Factors Monitoring: The Real-Time Production Factory System. Sensors 2023;23:5502. https://doi.org/10.3390/s23125502."
6,2026,10.1016/j.ssci.2025.107041,Elsevier,exclude,E3,,"Morillo CA, Shi H, Suárez-Pérez J, Demichela M. Early detection of physical fatigue in industry using wearable sensors and contextual modeling. Saf Sci 2026;194:107041. https://doi.org/10.1016/j.ssci.2025.107041."
7,2025,10.1109/JIOT.2024.3462302,IEEE,include,,Driving,"Rafi H, Benezeth Y, Song FY, Reynaud P, Arnoux E, Demonceaux C. Tree-Based Personalized Clustered Federated Learning: A Driver Stress Monitoring Through Physiological Data Case Study. IEEE Internet Things J 2025;12:1688–98. https://doi.org/10.1109/JIOT.2024.3462302."
8,2025,10.1038/s41598-025-08582-2,Springer Nature,include,,Driving,"AlArnaout Z, Zaki C, Kotb Y, AlAkkoumi M, Mostafa N. Exploiting heart rate variability for driver drowsiness detection using wearable sensors and machine learning. Sci Rep 2025;15:24898. https://doi.org/10.1038/s41598-025-08582-2."
9,2024,10.1371/journal.pone.0304932,PLOS,exclude,E4,,"Dias SB, Jelinek HF, Hadjileontiadis LJ. Wearable neurofeedback acceptance model for students’ stress and anxiety management in academic settings. PLOS ONE 2024;19:e0304932. https://doi.org/10.1371/journal.pone.0304932."
10,2023,10.2196/39995,JMIR,include,,Daily life,"Tutunji R, Kogias N, Kapteijns B, Krentz M, Krause F, Vassena E, et al. Detecting Prolonged Stress in Real Life Using Wearable Biosensors and Ecological Momentary Assessments: Naturalistic Experimental Study. J Med Internet Res 2023;25:e39995. https://doi.org/10.2196/39995."
11,2021,10.3390/s21082873,MDPI,exclude,E1,,"Dalmeida KM, Masala GL. HRV Features as Viable Physiological Markers for Stress Detection Using Wearable Devices. Sensors 2021;21:2873. https://doi.org/10.3390/s21082873."
12,2023,10.3390/s23073565,MDPI,include,,Laboratory,"Campanella S, Altaleb A, Belli A, Pierleoni P, Palma L. A Method for Stress Detection Using Empatica E4 Bracelet and Machine-Learning Techniques. Sensors 2023;23:3565. https://doi.org/10.3390/s23073565."
13,2024,10.1109/JIOT.2024.3375299,IEEE,include,,Daily life,"Toshnazarov K, Lee U, Kim BH, Mishra V, Najarro LAC, Noh Y. SOSW : Stress Sensing With Off-the-Shelf Smartwatches in the Wild. IEEE Internet Things J 2024;11:21527–45. https://doi.org/10.1109/JIOT.2024.3375299."
14,2022,10.1109/JSEN.2022.3157795,IEEE,include,,Laboratory,"Mohammadi A, Fakharzadeh M, Baraeinejad B. An Integrated Human Stress Detection Sensor Using Supervised Algorithms. IEEE Sens J 2022;22:8216–23. https://doi.org/10.1109/JSEN.2022.3157795."
15,2023,10.1371/journal.pone.0281778,PLOS,exclude,E3,,"Fathian R, Phan S, Ho C, Rouhani H. Face touch monitoring using an instrumented wristband using dynamic time warping and k-nearest neighbours. PLOS ONE 2023;18:e0281778. https://doi.org/10.1371/journal.pone.0281778."
16,2024,10.1109/JBHI.2024.3412103,IEEE,include,,Laboratory,"Xu J, Song C, Yue Z, Ding S. Facial Video-Based Non-Contact Stress Recognition Utilizing Multi-Task Learning With Peak Attention. IEEE J Biomed Health Inform 2024;28:5335–46. https://doi.org/10.1109/JBHI.2024.3412103."
17,2023,10.1016/j.compind.2023.103905,Elsevier,include,,Occupational,"Rescio G, Manni A, Caroppo A, Ciccarelli M, Papetti A, Leone A. Ambient and wearable system for workers’ stress evaluation. Comput Ind 2023;148:103905. https://doi.org/10.1016/j.compind.2023.103905."
18,2022,10.1371/journal.pone.0274994,PLOS,exclude,E3,,"Bläsing D, Buder A, Reiser JE, Nisser M, Derlien S, Vollmer M. ECG performance in simultaneous recordings of five wearable devices using a new morphological noise-to-signal index and Smith-Waterman-based RR interval comparisons. PLOS ONE 2022;17:e0274994. https://doi.org/10.1371/journal.pone.0274994."
19,2025,10.1038/s41597-025-04845-9,Springer Nature,include,,Laboratory,"Hongn A, Bosch F, Prado LE, Ferrández JM, Bonomini MP. Wearable Physiological Signals under Acute Stress and Exercise Conditions. Sci Data 2025;12:520. https://doi.org/10.1038/s41597-025-04845-9."
20,2023,10.1371/journal.pone.0281818,PLOS,exclude,E3,,"Machino T, Aonuma K, Maruo K, Komatsu Y, Yamasaki H, Igarashi M, et al. Randomized crossover trial of 2-week Garment electrocardiogram with dry textile electrode to reveal instances of post-ablation recurrence of atrial fibrillation underdiagnosed during 24-hour Holter monitoring. PLOS ONE 2023;18:e0281818. https://doi.org/10.1371/journal.pone.0281818."
21,2025,10.1109/ACCESS.2025.3633760,IEEE,include,,Laboratory,"El Arwadi L, Abu Daher L. CardioMind: Deep Learning Framework for Stress Detection Using IoT Devices. IEEE Access 2025;13:197027–42. https://doi.org/10.1109/ACCESS.2025.3633760."
22,2024,10.3390/s24165085,MDPI,include,,Benchmark,"Moser MK, Ehrhart M, Resch B. An Explainable Deep Learning Approach for Stress Detection in Wearable Sensor Measurements. Sensors 2024;24:5085. https://doi.org/10.3390/s24165085."
24,2025,10.1109/JSEN.2025.3590380,IEEE,include,,Laboratory,"Subathra P, Malarvizhi S, Ferents Koni Jiavana K, Patil S. A Wearable Electronic Band for Stress Understanding Using Machine Learning. IEEE Sens J 2025;25:38639–48. https://doi.org/10.1109/JSEN.2025.3590380."
25,2024,10.1109/ACCESS.2024.3461588,IEEE,include,,Daily life,"Kumar S, Raj Chauhan A, Akhil, Kumar A, Yang G. Resp-BoostNet: Mental Stress Detection From Biomarkers Measurable by Smartwatches Using Boosting Neural Network Technique. IEEE Access 2024;12:149861–74. https://doi.org/10.1109/ACCESS.2024.3461588."
26,2024,10.1371/journal.pone.0296468,PLOS,include,,Occupational,"Awada M, Becerik Gerber B, Lucas GM, Roll SC. Stress appraisal in the workplace and its associations with productivity and mood: Insights from a multimodal machine learning analysis. PLOS ONE 2024;19:e0296468. https://doi.org/10.1371/journal.pone.0296468."
27,2026,10.1016/j.inhs.2025.100047,Elsevier,exclude,E4,,"Pandya A, Singhal N, Panchal P, Patel J, Patel L, Thesia V, et al. Evaluating current trends in stress and depression detection using artificial intelligence and machine learning. Intell Hosp 2026;2:100047. https://doi.org/10.1016/j.inhs.2025.100047."
28,2023,10.1109/JTEHM.2022.3228483,IEEE,include,,Clinical,"Whiston A, Igou ER, Fortune DG, Analog Devices Team, Semkovska M. Examining Stress and Residual Symptoms in Remitted and Partially Remitted Depression Using a Wearable Electrodermal Activity Device: A Pilot Study. IEEE J Transl Eng Health Med 2023;11:96–106. https://doi.org/10.1109/JTEHM.2022.3228483."
29,2025,10.1007/s10796-024-10550-6,Springer,include,,Laboratory,"De Marchi B, Agovi E, Aliverti A. Stress Level Assessment by a Multi-Parametric Wearable Platform: Relevance of Different Physiological Signals. Inf Syst Front 2025;27:113–37. https://doi.org/10.1007/s10796-024-10550-6."
30,2025,10.1109/TAFFC.2024.3503995,IEEE,include,,Education,"Fernandez J, Martínez R, Innocenti B, López B. Contribution of EEG Signals for Students’ Stress Detection. IEEE Trans Affect Comput 2025;16:1235–46. https://doi.org/10.1109/TAFFC.2024.3503995."
31,2025,10.1109/JBHI.2024.3519600,IEEE,include,,Laboratory,"Mai N-D, Chung W-Y. On-Chip Mental Stress Detection: Integrating a Wearable Behind-The-Ear EEG Device With Embedded Tiny Neural Network. IEEE J Biomed Health Inform 2025;29:1872–85. https://doi.org/10.1109/JBHI.2024.3519600."
32,2025,10.1007/s44397-025-00030-0,Springer,exclude,E3,,"Chen Y, Tian Y, Zhou H, Xu J, Sun Y, Zhao C, et al. Assessment and biomarker exploration of chronic pain using wearable EEG device. Discov Sens 2025;1:28. https://doi.org/10.1007/s44397-025-00030-0."
33,2024,10.2196/52171,JMIR,include,,Benchmark,"Li J, Washington P. A Comparison of Personalized and Generalized Approaches to Emotion Recognition Using Consumer Wearable Devices: Machine Learning Study. JMIR AI 2024;3:e52171. https://doi.org/10.2196/52171."
